date, pm25, pm10, o3, no2, so2, co,location
2023-07-02, 20, 13, 16, 10, , ,"public-relations department, bangkok"
2023-07-03, 30, 18, 7, 9, , ,"public-relations department, bangkok"
2023-07-04, 46, 24, 19, 19, , ,"public-relations department, bangkok"
2023-07-05, 52, 16, 22, 12, , ,"public-relations department, bangkok"
2023-07-06, 37, 16, 22, , , ,"public-relations department, bangkok"
2023-07-07, 41, 15, 17, , , ,"public-relations department, bangkok"
2023-07-08, 35, 15, 9, , , ,"public-relations department, bangkok"
2023-07-09, 40, 10, 8, , , ,"public-relations department, bangkok"
2023-07-10, 28, 12, 12, 10, , ,"public-relations department, bangkok"
2023-07-11, 34, 18, 25, 14, , ,"public-relations department, bangkok"
2023-07-12, 43, 16, 15, 11, , ,"public-relations department, bangkok"
2023-07-13, 41, 14, 10, 9, , ,"public-relations department, bangkok"
2023-07-14, 39, 22, 11, 9, , ,"public-relations department, bangkok"
2023-07-15, 50, 22, 11, 8, , ,"public-relations department, bangkok"
2023-07-16, 51, 8, 12, 7, , ,"public-relations department, bangkok"
2023-07-17, 19, 13, 10, , , ,"public-relations department, bangkok"
2023-07-18, 30, 13, 11, , , ,"public-relations department, bangkok"
2023-07-19, 41, 23, 12, , , ,"public-relations department, bangkok"
2023-07-20, 51, 20, 15, , , ,"public-relations department, bangkok"
2023-07-21, 52, 18, 20, , , ,"public-relations department, bangkok"
2023-07-22, 43, 12, 11, , , ,"public-relations department, bangkok"
2023-07-23, 32, 19, 15, , , ,"public-relations department, bangkok"
2023-07-24, 38, 17, 11, , , ,"public-relations department, bangkok"
2023-07-25, 41, 17, 12, , , ,"public-relations department, bangkok"
2023-07-26, 39, 15, 8, , , ,"public-relations department, bangkok"
2023-07-27, 33, 11, 8, , , ,"public-relations department, bangkok"
2023-07-28, 28, 13, 10, , , ,"public-relations department, bangkok"
2023-07-29, 37, 16, 9, , , ,"public-relations department, bangkok"
2023-07-30, 36, 15, 7, , , ,"public-relations department, bangkok"
2023-07-31, 39, 23, 8, , , ,"public-relations department, bangkok"
2023-08-01, 44, 24, 6, , , ,"public-relations department, bangkok"
2023-08-02, 50, 26, 10, , , ,"public-relations department, bangkok"
2023-08-03, 49, 21, 10, , , ,"public-relations department, bangkok"
2023-08-04, 51, 23, 11, , , ,"public-relations department, bangkok"
2023-08-05, 47, 16, 10, , , ,"public-relations department, bangkok"
2023-08-06, 41, 20, 10, , , ,"public-relations department, bangkok"
2023-08-07, 42, 18, 9, , , ,"public-relations department, bangkok"
2023-08-08, 44, 21, 11, , , ,"public-relations department, bangkok"
2023-08-09, 48, 21, 18, , , ,"public-relations department, bangkok"
2023-08-10, 48, 18, 16, , , ,"public-relations department, bangkok"
2023-08-11, 38, 26, 11, , , ,"public-relations department, bangkok"
2023-08-12, 54, 21, 15, , , ,"public-relations department, bangkok"
2023-08-13, 49, 21, 13, , , ,"public-relations department, bangkok"
2023-08-14, 48, 19, 13, , , ,"public-relations department, bangkok"
2023-08-15, 48, 14, 15, , , ,"public-relations department, bangkok"
2023-08-16, 36, 18, 16, , , ,"public-relations department, bangkok"
2023-08-17, 43, 21, 13, , , ,"public-relations department, bangkok"
2023-08-18, 45, 24, 16, , , ,"public-relations department, bangkok"
2023-08-19, 51, 23, 18, , , ,"public-relations department, bangkok"
2023-08-20, 53, 14, 11, , , ,"public-relations department, bangkok"
2023-08-21, 36, 18, 18, , , ,"public-relations department, bangkok"
